AdmeraID	sampID	treatment	cage	tpt	sequencingRd	rep
18057-02-02	E11-T1	E	11	1	R2	1
18057-02-03	E13-T1	E	13	1	R2	2
18057-02-04	E14-T1	E	14	1	R2	3
18057XD-01-07	E16-T1	E	16	1	R1	4
18057XD-01-08	E17-T1	E	17	1	R1	5
18057XD-01-09	E19-T1	E	19	1	R1	6
18057XD-01-10	E23-T1	E	23	1	R1	7
18057XD-01-11	E30-T1	E	30	1	R1	8
18057-02-05	E11-T2	E	11	2	R2	1
18057-02-06	E13-T2	E	13	2	R2	2
18057-02-07	E14-T2	E	14	2	R2	3
18057-02-08	E16-T2	E	16	2	R2	4
18057-02-09	E17-T2	E	17	2	R2	5
18057-02-10	E19-T2	E	19	2	R2	6
18057-02-11	E23-T2	E	23	2	R2	7
18057-02-12	E30-T2	E	30	2	R2	8
18057-02-13	E11-T3	E	11	3	R2	1
18057-02-14	E13-T3	E	13	3	R2	2
18057-02-15	E14-T3	E	14	3	R2	3
18057-02-16	E16-T3	E	16	3	R2	4
18057-02-17	E17-T3	E	17	3	R2	5
18057-02-18	E19-T3	E	19	3	R2	6
18057-02-19	E23-T3	E	23	3	R2	7
18057-02-20	E30-T3	E	30	3	R2	8
18057-02-21	E11-T4	E	11	4	R2	1
18057-02-22	E13-T4	E	13	4	R2	2
18057-02-23	E14-T4	E	14	4	R2	3
18057-02-24	E16-T4	E	16	4	R2	4
18057-02-25	E17-T4	E	17	4	R2	5
18057-02-26	E19-T4	E	19	4	R2	6
18057-02-27	E23-T4	E	23	4	R2	7
18057-02-28	E30-T4	E	30	4	R2	8
